"slug","city","population","pop2025","pop2020","growth","type","pop2024","densityMi","areaMi","lat","lng","rank"
"illinois/lily-lake","Lily Lake",1045,1045,1035,0.00191754,"Village",1043,385,2.717,41.9573,-88.472,672
"illinois/willow-lake","Willow Lake",1042,1042,752,0.0709147,"CDP",973,381,2.732,42.3342,-89.6353,673
"illinois/edinburg","Edinburg",1041,1041,1081,-0.00762631,"Village",1049,1666,0.625,39.6579,-89.3901,674
"illinois/griggsville","Griggsville",1039,1039,1091,-0.00953289,"City",1049,939,1.106,39.7078,-90.7276,675
"illinois/royalton","Royalton",1031,1031,1061,-0.00578592,"Village",1037,925,1.115,37.8776,-89.1136,676
"illinois/windsor","Windsor",1028,1028,1068,-0.00772201,"City",1036,1632,0.63,39.4389,-88.5954,677
"illinois/cobden","Cobden",1012,1012,1069,-0.0107527,"Village",1023,830,1.22,37.5333,-89.2544,678
"illinois/homer","Homer",1011,1011,1071,-0.0117302,"Village",1023,1032,0.98,40.033,-87.9578,679
"illinois/washburn","Washburn",1011,1011,1033,-0.00394089,"Village",1015,1400,0.722,40.9203,-89.2918,680
"illinois/forrest","Forrest",1007,1007,1046,-0.00788177,"Village",1015,1554,0.648,40.7511,-88.4097,681
"illinois/bannockburn","Bannockburn",1000,1000,1012,-0.00199601,"Village",1002,493,2.028,42.1922,-87.8698,682
"illinois/lovington","Lovington",998,998,1062,-0.0128586,"Village",1011,1835,0.544,39.7151,-88.6337,683
"illinois/greenfield","Greenfield",993,993,1053,-0.0119403,"City",1005,579,1.714,39.3445,-90.2082,684
"illinois/newark","Newark",992,992,976,0.00303337,"Village",989,883,1.124,41.5366,-88.5806,685
"illinois/chebanse","Chebanse",991,991,1046,-0.010978,"Village",1002,833,1.19,41.0059,-87.9097,686
"illinois/milledgeville","Milledgeville",988,988,1023,-0.00703517,"Village",995,1432,0.69,41.9637,-89.7747,687
"illinois/payson","Payson",985,985,1022,-0.00705645,"Village",992,842,1.17,39.8169,-91.2443,688
"illinois/mazon","Mazon",981,981,978,0.00102041,"Village",980,1630,0.602,41.2415,-88.4231,689
"illinois/coyne-center","Coyne Center",978,978,1102,0.0103306,"CDP",968,569,1.72,41.4006,-90.5627,690
"illinois/flanagan","Flanagan",977,977,1006,-0.00610376,"Village",983,1696,0.576,40.8774,-88.8588,691
"illinois/thomasboro","Thomasboro",976,976,1030,-0.0111449,"Village",987,976,1,40.2439,-88.1877,692
"illinois/harrison","Harrison",975,975,934,0,"CDP",975,463,2.106,37.7976,-89.336,693
"illinois/odell","Odell",971,971,1005,-0.00715746,"Village",978,902,1.077,41.0023,-88.5235,694
"illinois/colfax","Colfax",969,969,998,-0.00615385,"Village",975,1752,0.553,40.5666,-88.6161,695
"illinois/goodfield","Goodfield",969,969,948,0.00414508,"Village",965,575,1.684,40.6306,-89.2581,696
"illinois/wenona","Wenona",965,965,975,-0.00206825,"City",967,1311,0.736,41.0487,-89.0523,697
"illinois/wayne-city","Wayne City",963,963,1003,-0.00823893,"Village",971,557,1.729,38.3476,-88.5894,698
"illinois/marine","Marine",962,962,909,0.0115668,"Village",951,1365,0.705,38.7865,-89.7786,699
"illinois/morrisonville","Morrisonville",961,961,998,-0.0072314,"Village",968,929,1.035,39.4217,-89.459,700
"illinois/mccullom-lake","McCullom Lake",958,958,982,-0.00519211,"Village",963,2761,0.347,42.3677,-88.2974,701
"illinois/shawneetown","Shawneetown",955,955,1052,-0.0195072,"City",974,1301,0.734,37.7159,-88.1867,702
"illinois/south-pekin","South Pekin",952,952,987,-0.00729927,"Village",959,1849,0.515,40.4955,-89.6524,703
"illinois/wamac","Wamac",951,951,981,-0.00626959,"City",957,672,1.415,38.4909,-89.1479,704
"illinois/lake-carroll","Lake Carroll",947,947,500,0.071267,"CDP",884,70,13.546,42.1706,-89.8647,705
"illinois/energy","Energy",941,941,970,-0.0063358,"Village",947,787,1.195,37.7707,-89.0239,706
"illinois/rosiclare","Rosiclare",939,939,978,-0.00844773,"City",947,484,1.939,37.4256,-88.3523,707
"illinois/ashton","Ashton",934,934,966,-0.00638298,"Village",940,1295,0.721,41.8684,-89.2231,708
"illinois/atkinson","Atkinson",926,926,956,-0.00643777,"Town",932,486,1.907,41.4132,-90.0053,709
"illinois/rapids-city","Rapids City",924,924,958,-0.0075188,"Village",931,568,1.626,41.5786,-90.3399,710
"illinois/mansfield","Mansfield",922,922,936,-0.00324324,"Village",925,1815,0.508,40.212,-88.5087,711
"illinois/leland","Leland",919,919,946,-0.00541126,"Village",924,1721,0.534,41.616,-88.7983,712
"illinois/hamel","Hamel",914,914,924,-0.00218341,"Village",916,768,1.19,38.8925,-89.8387,713
"illinois/nauvoo","Nauvoo",911,911,941,-0.00654308,"City",917,269,3.386,40.5445,-91.3828,714
"illinois/sheldon","Sheldon",908,908,967,-0.0130435,"Village",920,1206,0.753,40.771,-87.5658,715
"illinois/raymond","Raymond",907,907,942,-0.00765864,"Village",914,722,1.257,39.3198,-89.5745,716
"illinois/beckemeyer","Beckemeyer",906,906,920,-0.00330033,"Village",909,1468,0.617,38.6058,-89.4323,717
"illinois/percy","Percy",906,906,913,-0.00110254,"Village",907,924,0.98,38.0147,-89.6181,718
"illinois/timberlane","Timberlane",902,902,904,0,"Village",902,517,1.746,42.3357,-88.8661,719
"illinois/pleasant-hill","Pleasant Hill",897,897,924,-0.00554324,"Village",902,1173,0.765,39.4432,-90.8729,720
"illinois/odin","Odin",892,892,936,-0.0099889,"Village",901,889,1.003,38.6159,-89.0541,721
"illinois/ramsey","Ramsey",883,883,912,-0.00674916,"Village",889,795,1.111,39.1457,-89.1103,722
"illinois/shannon","Shannon",880,880,800,0.0185185,"Village",864,1826,0.482,42.1524,-89.7402,723
"illinois/astoria","Astoria",868,868,925,-0.0125142,"Town",879,1481,0.586,40.2279,-90.3565,724
"illinois/franklin-grove","Franklin Grove",867,867,897,-0.00687285,"Village",873,2084,0.416,41.8413,-89.3,725
"illinois/gifford","Gifford",867,867,907,-0.00914286,"Village",875,1953,0.444,40.3078,-88.0214,726
"illinois/essex","Essex",862,862,842,0.004662,"Village",858,370,2.327,41.1831,-88.1924,727
"illinois/argenta","Argenta",858,858,910,-0.0115207,"Village",868,1314,0.653,39.9855,-88.8197,728
"illinois/wyanet","Wyanet",857,857,886,-0.00695249,"Village",863,906,0.946,41.3609,-89.5827,729
"illinois/dieterich","Dieterich",856,856,891,-0.00811124,"Village",863,627,1.366,39.0603,-88.3814,730
"illinois/annawan","Annawan",855,855,884,-0.00696864,"Town",861,399,2.142,41.3964,-89.8906,731
"illinois/grafton","Grafton",849,849,638,0.0520446,"City",807,229,3.712,38.9765,-90.4257,732
"illinois/viola","Viola",849,849,868,-0.00468933,"Village",853,1013,0.838,41.2053,-90.5862,733
"illinois/shabbona","Shabbona",840,840,865,-0.00591716,"Village",845,655,1.283,41.7643,-88.8822,734
"illinois/mendon","Mendon",839,839,869,-0.00710059,"Village",845,979,0.857,40.0892,-91.2858,735
"illinois/albany","Albany",838,838,857,-0.00475059,"Village",842,782,1.071,41.7861,-90.2163,736
"illinois/mitchell","Mitchell",838,838,1233,-0.0400916,"CDP",873,1499,0.559,38.7631,-90.0816,737
"illinois/oreana","Oreana",837,837,887,-0.0118064,"Village",847,1788,0.468,39.9378,-88.8685,738
"illinois/roseville","Roseville",831,831,890,-0.0142349,"Village",843,1124,0.739,40.7307,-90.6638,739
"illinois/hanover","Hanover",827,827,862,-0.00839328,"Village",834,737,1.122,42.2552,-90.2736,740
"illinois/glasford","Glasford",825,825,860,-0.00841346,"Village",832,909,0.908,40.5728,-89.8131,741
"illinois/coulterville","Coulterville",823,823,832,-0.00242424,"Village",825,1446,0.569,38.1851,-89.6043,742
"illinois/illiopolis","Illiopolis",822,822,844,-0.00484262,"Village",826,1214,0.677,39.8498,-89.2521,743
"illinois/clay-city","Clay City",817,817,854,-0.00849514,"Village",824,458,1.782,38.6858,-88.3486,744
"illinois/ringwood","Ringwood",815,815,829,-0.00366748,"Village",818,211,3.864,42.3973,-88.3041,745
"illinois/elkville","Elkville",812,812,836,-0.00611995,"Village",817,1059,0.767,37.9094,-89.2372,746
"illinois/paw-paw","Paw Paw",800,800,827,-0.00621118,"Village",805,1336,0.599,41.6882,-88.9798,747
"illinois/pleasant-plains","Pleasant Plains",800,800,809,-0.00249376,"Village",802,599,1.335,39.8747,-89.9183,748
"illinois/hopedale","Hopedale",794,794,821,-0.00625782,"Village",799,893,0.889,40.4234,-89.4223,749
"illinois/stonington","Stonington",794,794,834,-0.00997506,"Village",802,1737,0.457,39.6385,-89.192,750
"illinois/sheffield","Sheffield",793,793,820,-0.00626566,"Village",798,681,1.165,41.358,-89.7392,751
"illinois/loami","Loami",789,789,809,-0.00504414,"Village",793,780,1.012,39.6741,-89.8479,752
"illinois/meredosia","Meredosia",788,788,822,-0.00880503,"Village",795,912,0.864,39.8315,-90.5572,753
"illinois/new-milford","New Milford",788,788,793,-0.00126743,"Village",789,305,2.582,42.1691,-89.0698,754
"illinois/ridgway","Ridgway",780,780,852,-0.0176322,"Village",794,886,0.88,37.7979,-88.2606,755
"illinois/hardin","Hardin",778,778,798,-0.00511509,"Village",782,366,2.128,39.159,-90.6231,756
"illinois/dallas-city","Dallas City",775,775,807,-0.00768246,"City",781,326,2.374,40.6353,-91.1643,757
"illinois/lake-petersburg","Lake Petersburg",774,774,547,0.00519481,"CDP",770,428,1.807,39.9843,-89.8562,758
"illinois/spaulding","Spaulding",774,774,798,-0.00641849,"Village",779,1032,0.75,39.8662,-89.5451,759
"illinois/galatia","Galatia",773,773,823,-0.0127714,"Village",783,396,1.952,37.842,-88.6165,760
"illinois/enfield","Enfield",768,768,792,-0.0064683,"Village",773,760,1.011,38.1009,-88.3381,761
"illinois/newman","Newman",763,763,778,-0.00391645,"City",766,1245,0.613,39.797,-87.9877,762
"illinois/cissna-park","Cissna Park",762,762,812,-0.0129534,"Village",772,1051,0.725,40.567,-87.8922,763
"illinois/stronghurst","Stronghurst",757,757,817,-0.0156047,"Village",769,867,0.873,40.7462,-90.9094,764
"illinois/witt","Witt",752,752,782,-0.00791557,"City",758,607,1.238,39.2538,-89.3488,765
"illinois/alexis","Alexis",751,751,790,-0.0105402,"Village",759,1581,0.475,41.0629,-90.5554,766
"illinois/brimfield","Brimfield",751,751,776,-0.00661376,"Village",756,815,0.921,40.837,-89.8806,767
"illinois/pearl-city","Pearl City",744,744,783,-0.0106383,"Village",752,1152,0.646,42.2662,-89.8272,768
"illinois/hurst","Hurst",743,743,758,-0.00402145,"City",746,838,0.887,37.837,-89.1474,769
"illinois/tilden","Tilden",743,743,747,-0.00134409,"Village",744,762,0.975,38.212,-89.6837,770
"illinois/apple-canyon-lake","Apple Canyon Lake",740,740,639,0.0164835,"CDP",728,199,3.716,42.4338,-90.1597,771
"illinois/ridge-farm","Ridge Farm",736,736,785,-0.0134048,"Village",746,241,3.056,39.8957,-87.652,772
"illinois/livingston","Livingston",733,733,763,-0.00811908,"Village",739,705,1.04,38.9686,-89.7637,773
"illinois/lost-nation","Lost Nation",733,733,570,0.00273598,"CDP",731,300,2.441,41.912,-89.3685,774
"illinois/forest-view","Forest View",732,732,791,-0.016129,"Village",744,627,1.168,41.8091,-87.7731,775
"illinois/hennepin","Hennepin",729,729,759,-0.00816326,"Village",735,137,5.307,41.2505,-89.3141,776
"illinois/woodhull","Woodhull",728,728,753,-0.00682128,"Village",733,829,0.878,41.1784,-90.3222,777
"illinois/east-galesburg","East Galesburg",726,726,761,-0.00954979,"Village",733,532,1.365,40.9428,-90.311,778
"illinois/tonica","Tonica",726,726,748,-0.00547945,"Village",730,533,1.363,41.2159,-89.07,779
"illinois/orangeville","Orangeville",725,725,767,-0.0109141,"Village",733,1069,0.678,42.4658,-89.6469,780
"illinois/braceville","Braceville",724,724,721,0.00138312,"Village",723,233,3.111,41.2253,-88.2676,781
"illinois/south-wilmington","South Wilmington",723,723,705,0.00556328,"Village",719,1470,0.492,41.1745,-88.2795,782
"illinois/taylor-springs","Taylor Springs",722,722,736,-0.00413793,"Village",725,684,1.055,39.1319,-89.495,783
"illinois/mclean","McLean",721,721,741,-0.00551724,"Village",725,613,1.177,40.3136,-89.1686,784
"illinois/argyle","Argyle",720,720,353,0.0714286,"CDP",672,821,0.877,42.3548,-88.9392,785
"illinois/stewardson","Stewardson",719,719,718,0,"Village",719,1173,0.613,39.2638,-88.6301,786
"illinois/west-salem","West Salem",718,718,772,-0.0150892,"Village",729,460,1.56,38.5201,-88.0093,787
"illinois/tiskilwa","Tiskilwa",717,717,744,-0.00692521,"Village",722,1576,0.455,41.2924,-89.5066,788
"illinois/oakland","Oakland",715,715,734,-0.00556328,"City",719,913,0.783,39.6578,-88.0279,789
"illinois/piper-city","Piper City",715,715,744,-0.00832178,"Village",721,1288,0.555,40.7561,-88.1889,790
"illinois/greenview","Greenview",705,705,745,-0.0112202,"Village",713,821,0.859,40.0849,-89.7405,791
"illinois/kinmundy","Kinmundy",705,705,732,-0.00704225,"City",710,588,1.198,38.7721,-88.8535,792
"illinois/oak-run","Oak Run",704,704,468,0.0144092,"CDP",694,165,4.276,40.9599,-90.1301,793
"illinois/ashkum","Ashkum",703,703,747,-0.0126404,"Village",712,842,0.835,40.8783,-87.9532,794
"illinois/ogden","Ogden",702,702,732,-0.00847458,"Village",708,1194,0.588,40.1151,-87.9563,795
"illinois/wataga","Wataga",700,700,740,-0.0112994,"Village",708,844,0.829,41.0252,-90.2754,796
"illinois/matherville","Matherville",689,689,706,-0.00433526,"Village",692,1762,0.391,41.2591,-90.6059,797
"illinois/elizabeth","Elizabeth",688,688,705,-0.00434153,"Village",691,746,0.922,42.3163,-90.2221,798
"illinois/sherrard","Sherrard",688,688,693,-0.00145138,"Village",689,741,0.928,41.3142,-90.4972,799
"illinois/brookport","Brookport",675,675,722,-0.0131579,"City",684,1034,0.653,37.1258,-88.626,800
"illinois/brownstown","Brownstown",673,673,693,-0.00590842,"Village",677,882,0.763,38.9942,-88.9553,801
"illinois/pocahontas","Pocahontas",668,668,698,-0.00890208,"Village",674,853,0.783,38.8244,-89.5388,802
"illinois/godley","Godley",667,667,572,0.029321,"Village",648,616,1.083,41.2444,-88.2426,803
"illinois/la-moille","La Moille",664,664,688,-0.00747384,"Village",669,640,1.038,41.5304,-89.2843,804
"illinois/tampico","Tampico",664,664,693,-0.00895522,"Village",670,1685,0.394,41.6308,-89.7851,805
"illinois/oneida","Oneida",661,661,696,-0.010479,"City",668,866,0.763,41.0722,-90.2247,806
"illinois/avon","Avon",659,659,701,-0.011994,"Village",667,1484,0.444,40.662,-90.4353,807
"illinois/farmersville","Farmersville",659,659,684,-0.00753012,"Village",664,932,0.707,39.4407,-89.6525,808
"illinois/mechanicsburg","Mechanicsburg",656,656,661,-0.00152207,"Village",657,633,1.036,39.7972,-89.4108,809
"illinois/windsor","Windsor",656,656,665,-0.00303951,"Village",658,1498,0.438,41.2018,-90.4444,810
"illinois/potomac","Potomac",651,651,688,-0.0106383,"Village",658,1334,0.488,40.3067,-87.7976,811
"illinois/watson","Watson",651,651,670,-0.00610687,"Village",655,596,1.092,39.0261,-88.5686,812
"illinois/alpha","Alpha",648,648,672,-0.00765697,"Village",653,2084,0.311,41.1917,-90.3805,813
"illinois/cordova","Cordova",644,644,674,-0.00923077,"Village",650,1122,0.574,41.677,-90.3207,814
"illinois/bradford","Bradford",642,642,677,-0.0107858,"Village",649,1613,0.398,41.1772,-89.6582,815
"illinois/findlay","Findlay",641,641,668,-0.00773994,"Village",646,694,0.924,39.5223,-88.7546,816
"illinois/deer-creek","Deer Creek",640,640,662,-0.00621118,"Village",644,1196,0.535,40.6295,-89.3317,817
"illinois/sunnyland","Sunnyland",640,640,565,0.0720268,"CDP",597,3216,0.199,41.572,-88.1449,818
"illinois/dalzell","Dalzell",638,638,663,-0.00777605,"Village",643,778,0.82,41.3565,-89.1734,819
"illinois/bartelso","Bartelso",635,635,629,0.00157729,"Village",634,967,0.657,38.5382,-89.4615,820
"illinois/saybrook","Saybrook",635,635,654,-0.00625978,"Village",639,792,0.802,40.4281,-88.5262,821
"illinois/aroma-park","Aroma Park",634,634,661,-0.00782473,"Village",639,337,1.882,41.0818,-87.8044,822
"illinois/kansas","Kansas",634,634,668,-0.0109204,"Village",641,620,1.022,39.5545,-87.9396,823
"illinois/west-city","West City",633,633,652,-0.00627943,"Village",637,394,1.608,37.996,-88.9489,824
"illinois/cedarville","Cedarville",630,630,669,-0.0125392,"Village",638,1367,0.461,42.3757,-89.6363,825
"illinois/kirkwood","Kirkwood",629,629,676,-0.0141066,"Village",638,670,0.939,40.8678,-90.7483,826
"illinois/dongola","Dongola",625,625,660,-0.0110759,"Village",632,574,1.088,37.3571,-89.165,827
"illinois/rest-haven","Rest Haven",624,624,550,0.0721649,"CDP",582,912,0.684,41.2583,-88.1297,828
"illinois/millington","Millington",623,623,618,0.00160772,"Village",622,880,0.708,41.5605,-88.6041,829
"illinois/union","Union",623,623,550,0.0246711,"Village",608,745,0.836,42.2316,-88.5448,830
"illinois/coffeen","Coffeen",622,622,642,-0.00638978,"City",626,535,1.162,39.0882,-89.3898,831
"illinois/golden","Golden",620,620,645,-0.008,"Village",625,966,0.642,40.1103,-91.0192,832
"illinois/ashmore","Ashmore",619,619,638,-0.00642054,"Village",623,769,0.805,39.5306,-88.0201,833
"illinois/golconda","Golconda",614,614,633,-0.00647249,"City",618,1204,0.51,37.3621,-88.4867,834
"illinois/creston","Creston",613,613,627,-0.00487013,"Village",616,535,1.146,41.9336,-88.9743,835
"illinois/noble","Noble",613,613,630,-0.00487013,"Village",616,603,1.017,38.6981,-88.2188,836
"illinois/brooklyn","Brooklyn",610,610,649,-0.012945,"Village",618,752,0.811,38.6542,-90.1679,837
"illinois/cisne","Cisne",610,610,627,-0.00489396,"Village",613,968,0.63,38.5139,-88.4371,838
"illinois/como","Como",610,610,525,0.00494234,"CDP",607,572,1.066,41.7665,-89.7653,839
"illinois/new-boston","New Boston",610,610,612,0,"City",610,648,0.941,41.1704,-90.9998,840
"illinois/yates-city","Yates City",610,610,642,-0.00974026,"Village",616,1237,0.493,40.7776,-90.0139,841
"illinois/clayton","Clayton",609,609,638,-0.0097561,"Village",615,689,0.884,40.0306,-90.958,842
"illinois/thayer","Thayer",604,604,631,-0.00821018,"Village",609,990,0.61,39.5404,-89.758,843
"illinois/green-valley","Green Valley",602,602,627,-0.00823723,"Village",607,2000,0.301,40.4072,-89.6442,844
"illinois/holiday-hills","Holiday Hills",601,601,616,-0.00496689,"Village",604,643,0.934,42.2959,-88.2288,845
"illinois/alhambra","Alhambra",600,600,620,-0.00662252,"Village",604,794,0.756,38.8874,-89.7369,846
"illinois/bluford","Bluford",600,600,622,-0.00662252,"Village",604,378,1.586,38.3261,-88.7348,847
"illinois/st-libory","St. Libory",597,597,629,-0.00995025,"Village",603,615,0.97,38.3631,-89.7181,848
"illinois/woodlawn","Woodlawn",596,596,613,-0.00500835,"Village",599,700,0.852,38.3283,-89.0345,849
"illinois/mounds","Mounds",590,590,655,-0.0215589,"City",603,489,1.207,37.1162,-89.2029,850
"illinois/crossville","Crossville",589,589,621,-0.010084,"Village",595,920,0.64,38.1626,-88.0644,851
"illinois/palmyra","Palmyra",589,589,603,-0.00506757,"Village",592,590,0.999,39.4345,-89.9959,852
"illinois/franklin","Franklin",585,585,610,-0.00847458,"Village",590,706,0.829,39.6205,-90.0477,853
"illinois/ursa","Ursa",582,582,607,-0.00851789,"Village",587,843,0.69,40.0742,-91.3724,854
"illinois/fairmount","Fairmount",581,581,616,-0.0119048,"Village",588,1833,0.317,40.0456,-87.8293,855
"illinois/stanford","Stanford",577,577,599,-0.00688468,"Village",581,872,0.662,40.4322,-89.2208,856
"illinois/hopkins-park","Hopkins Park",576,576,593,-0.00518135,"Village",579,138,4.173,41.069,-87.606,857
"illinois/niantic","Niantic",575,575,609,-0.0120275,"Village",582,553,1.039,39.8541,-89.1653,858
"illinois/bedford-park","Bedford Park",573,573,595,-0.00693241,"Village",577,97,5.934,41.7678,-87.7726,859
"illinois/bluffs","Bluffs",572,572,621,-0.0171821,"Village",582,641,0.893,39.7493,-90.5353,860
"illinois/carlock","Carlock",562,562,547,0.00536673,"Village",559,1423,0.395,40.5836,-89.1288,861
"illinois/danforth","Danforth",562,562,594,-0.0105634,"Village",568,1176,0.478,40.822,-87.9778,862
"illinois/irvington","Irvington",562,562,582,-0.00706714,"Village",566,556,1.01,38.4384,-89.1603,863
"illinois/willisville","Willisville",561,561,578,-0.00531915,"Village",564,1442,0.389,37.9828,-89.5898,864
"illinois/davis","Davis",558,558,590,-0.0106383,"Village",564,1364,0.409,42.4216,-89.4149,865
"illinois/custer-park","Custer Park",555,555,497,0.0714286,"CDP",518,3535,0.157,41.2427,-88.1295,866
"illinois/pittsburg","Pittsburg",554,554,566,-0.00359712,"Village",556,268,2.065,37.7766,-88.8502,867
"illinois/bismarck","Bismarck",553,553,583,-0.0107335,"Village",559,744,0.743,40.2594,-87.6113,868
"illinois/mettawa","Mettawa",552,552,531,0.00729927,"Village",548,101,5.451,42.2434,-87.9214,869
"illinois/blandinsville","Blandinsville",551,551,563,-0.00361664,"Village",553,630,0.875,40.554,-90.8683,870
"illinois/vermont","Vermont",550,550,570,-0.00722022,"Village",554,437,1.258,40.2957,-90.429,871
"illinois/keithsburg","Keithsburg",546,546,545,0,"City",546,213,2.558,41.1,-90.9361,872
"illinois/damiansville","Damiansville",544,544,563,-0.00729927,"Village",548,662,0.822,38.5088,-89.615,873
"illinois/schram-city","Schram City",543,543,563,-0.00731261,"Village",547,959,0.566,39.1598,-89.4668,874
"illinois/trivoli","Trivoli",542,542,380,0.0711462,"CDP",506,356,1.522,40.6975,-89.8891,875
"illinois/murrayville","Murrayville",541,541,566,-0.00915751,"Village",546,1091,0.496,39.5818,-90.2518,876
"illinois/williamsfield","Williamsfield",540,540,569,-0.010989,"Village",546,439,1.231,40.9264,-90.0182,877
"illinois/ava","Ava",537,537,549,-0.00371057,"City",539,508,1.057,37.8885,-89.4963,878
"illinois/valier","Valier",537,537,557,-0.00739371,"Village",541,478,1.124,38.018,-89.0437,879
"illinois/augusta","Augusta",536,536,556,-0.00740741,"Village",540,776,0.691,40.2307,-90.9501,880
"illinois/andover","Andover",532,532,554,-0.00746269,"Village",536,537,0.99,41.2949,-90.2907,881
"illinois/evansville","Evansville",532,532,547,-0.00560748,"Village",535,675,0.788,38.089,-89.9325,882
"illinois/pesotum","Pesotum",531,531,550,-0.00747663,"Village",535,933,0.569,39.9112,-88.2769,883
"illinois/tamaroa","Tamaroa",527,527,541,-0.00566038,"Village",530,550,0.958,38.1363,-89.2293,884
"illinois/makanda","Makanda",525,525,537,-0.00379507,"Village",527,99,5.281,37.6203,-89.2371,885
"illinois/moro","Moro",525,525,362,0.0714286,"CDP",490,2397,0.219,38.9252,-90.0264,886
"illinois/indian-creek","Indian Creek",523,523,530,-0.0019084,"Village",524,1959,0.267,42.2272,-87.9784,887
"illinois/farina","Farina",522,522,542,-0.00760456,"Village",526,358,1.457,38.8298,-88.7809,888
"illinois/campbells-island","Campbell's Island",521,521,343,0.0720165,"CDP",486,1148,0.454,41.5404,-90.4303,889
"illinois/wilsonville","Wilsonville",521,521,536,-0.00572519,"Village",524,545,0.956,39.069,-89.8551,890
"illinois/edgington","Edgington",519,519,195,0.072314,"CDP",484,513,1.012,41.3869,-90.7637,891
"illinois/lyndon","Lyndon",518,518,535,-0.00575816,"Village",521,684,0.757,41.7175,-89.924,892
"illinois/crescent-city","Crescent City",517,517,554,-0.0133588,"Village",524,1134,0.456,40.7717,-87.8566,893
"illinois/liberty","Liberty",517,517,541,-0.00957854,"Village",522,1322,0.391,39.8797,-91.1066,894
"illinois/burlington","Burlington",515,515,535,-0.00770713,"Village",519,75,6.855,42.0529,-88.5689,895
"illinois/junction-city","Junction City",515,515,527,-0.00386847,"Village",517,753,0.684,38.5755,-89.1268,896
"illinois/prairie-rocher","Prairie Rocher",515,515,500,0.00585938,"Village",512,902,0.571,38.0817,-90.0976,897
"illinois/congerville","Congerville",514,514,494,0.00784314,"Village",510,534,0.963,40.6167,-89.2048,898
"illinois/elsah","Elsah",514,514,523,-0.00387597,"Village",516,471,1.092,38.9541,-90.3553,899
"illinois/westfield","Westfield",513,513,535,-0.00773694,"Village",517,525,0.978,39.4555,-87.9965,900
"illinois/st-francisville","St. Francisville",510,510,567,-0.0211132,"City",521,685,0.745,38.5919,-87.6475,901
"illinois/strasburg","Strasburg",507,507,532,-0.00976562,"Village",512,937,0.541,39.3497,-88.6218,902
"illinois/grand-ridge","Grand Ridge",506,506,516,-0.00393701,"Village",508,1095,0.462,41.2361,-88.831,903
"illinois/olive-branch","Olive Branch",506,506,610,-0.045283,"CDP",530,54,9.447,37.1837,-89.3495,904
"illinois/plum-valley","Plum Valley",506,506,379,0.0720339,"CDP",472,271,1.868,41.4611,-87.5442,905
"illinois/solon-mills","Solon Mills",505,505,177,0.0721868,"CDP",471,2590,0.195,42.4421,-88.2764,906
"illinois/trout-valley","Trout Valley",505,505,514,-0.00394477,"Village",507,1180,0.428,42.1957,-88.2507,907
"illinois/wapella","Wapella",502,502,512,-0.00396825,"Village",504,911,0.551,40.2218,-88.9612,908
"illinois/chandlerville","Chandlerville",501,501,531,-0.0118343,"Village",507,631,0.794,40.047,-90.1513,909
"illinois/dawson","Dawson",500,500,517,-0.00596421,"Village",503,631,0.792,39.853,-89.4619,910
"illinois/cullom","Cullom",498,498,515,-0.00598802,"Village",501,1473,0.338,40.8784,-88.2698,911
"illinois/dahlgren","Dahlgren",498,498,503,-0.00200401,"Village",499,490,1.017,38.1981,-88.6847,912
"illinois/patoka","Patoka",498,498,523,-0.00994036,"Village",503,447,1.115,38.7541,-89.0958,913
"illinois/hammond","Hammond",497,497,506,-0.00400802,"Village",499,657,0.757,39.8034,-88.5946,914
"illinois/north-city","North City",497,497,509,-0.00400802,"Village",499,229,2.171,37.9912,-89.0639,915
"illinois/east-lynn","East Lynn",496,496,379,0.0712743,"CDP",463,1872,0.265,40.4662,-87.8007,916
"illinois/hoyleton","Hoyleton",496,496,518,-0.008,"Village",500,653,0.76,38.4457,-89.2721,917
"illinois/mark","Mark",496,496,516,-0.008,"Village",500,466,1.065,41.2623,-89.255,918
"illinois/shipman","Shipman",496,496,510,-0.00601202,"Town",499,376,1.32,39.1195,-90.0452,919
"illinois/st-david","St. David",495,495,525,-0.011976,"Village",501,1533,0.323,40.492,-90.0525,920
"illinois/mulberry-grove","Mulberry Grove",494,494,519,-0.01002,"Village",499,486,1.016,38.9253,-89.2619,921
"illinois/cowden","Cowden",493,493,513,-0.00804829,"Village",497,1226,0.402,39.2492,-88.8594,922
"illinois/creal-springs","Creal Springs",491,491,505,-0.00607287,"City",494,478,1.027,37.6198,-88.8374,923
"illinois/dayton","Dayton",488,488,475,-0.00813008,"CDP",492,265,1.839,41.3915,-88.7992,924
"illinois/golf","Golf",487,487,511,-0.0101626,"Village",492,1087,0.448,42.0585,-87.7849,925
"illinois/spring-bay","Spring Bay",485,485,467,0.00831601,"Village",481,705,0.688,40.8212,-89.5311,926
"illinois/equality","Equality",484,484,534,-0.0202429,"Village",494,552,0.877,37.7369,-88.3422,927
"illinois/iuka","Iuka",484,484,508,-0.0102249,"Village",489,660,0.733,38.6178,-88.7883,928
"illinois/woodson","Woodson",479,479,498,-0.00828157,"Village",483,1216,0.394,39.6274,-90.2256,929
"illinois/thompsonville","Thompsonville",476,476,485,-0.0041841,"Village",478,234,2.031,37.9113,-88.765,930
"illinois/ridgefield","Ridgefield",475,475,274,0.0722348,"CDP",443,908,0.523,42.2707,-88.362,931
