"slug","city","population","pop2025","pop2020","growth","type","pop2024","densityMi","areaMi","lat","lng","rank"
"illinois/salem","Salem",6917,6917,7264,-0.0098769,"City",6986,989,6.991,38.6275,-88.9594,282
"illinois/university-park","University Park",6917,6917,7129,-0.00603535,"Village",6959,645,10.727,41.4469,-87.713,283
"illinois/murphysboro","Murphysboro",6883,6883,7082,-0.00577784,"City",6923,1312,5.248,37.7672,-89.3324,284
"illinois/mendota","Mendota",6856,6856,7038,-0.00522345,"City",6892,1337,5.126,41.5567,-89.1005,285
"illinois/clinton","Clinton",6854,6854,6963,-0.00319953,"City",6876,1934,3.544,40.147,-88.9632,286
"illinois/north-riverside","North Riverside",6853,6853,7397,-0.0156564,"Village",6962,4168,1.644,41.8461,-87.8263,287
"illinois/elburn","Elburn",6793,6793,6208,0.0175255,"Village",6676,1811,3.75,41.886,-88.4609,288
"illinois/chester","Chester",6680,6680,6810,-0.00387712,"City",6706,1157,5.772,37.9258,-89.8277,289
"illinois/stickney","Stickney",6613,6613,7087,-0.0141622,"Village",6708,3437,1.924,41.817,-87.7737,290
"illinois/mount-carmel","Mount Carmel",6597,6597,6981,-0.0115373,"City",6674,1372,4.809,38.419,-87.7698,291
"illinois/benton","Benton",6533,6533,6695,-0.00487433,"City",6565,1190,5.49,38.0132,-88.9173,292
"illinois/winthrop-harbor","Winthrop Harbor",6531,6531,6688,-0.00472417,"Village",6562,1409,4.636,42.4806,-87.8296,293
"illinois/litchfield","Litchfield",6516,6516,6761,-0.00746382,"City",6565,727,8.957,39.176,-89.6655,294
"illinois/geneseo","Geneseo",6515,6515,6540,-0.000766871,"City",6520,1383,4.711,41.4513,-90.1548,295
"illinois/calumet-park","Calumet Park",6480,6480,6992,-0.0154968,"Village",6582,5801,1.117,41.6657,-87.6577,296
"illinois/lakemoor","Lakemoor",6447,6447,6174,0.00860451,"Village",6392,1215,5.304,42.3389,-88.2027,297
"illinois/johnsburg","Johnsburg",6404,6404,6354,0.00156397,"Village",6394,883,7.254,42.3832,-88.2468,298
"illinois/orland-hills","Orland Hills",6388,6388,6863,-0.0146537,"Village",6483,5579,1.145,41.5907,-87.8421,299
"illinois/candlewick-lake","Candlewick Lake",6350,6350,5351,0.0713683,"CDP",5927,3434,1.849,42.3511,-88.8704,300
"illinois/braidwood","Braidwood",6163,6163,6187,-0.000810635,"City",6168,1164,5.296,41.2702,-88.2234,301
"illinois/monticello","Monticello",6063,6063,5950,0.00380795,"City",6040,1563,3.878,40.0335,-88.5741,302
"illinois/countryside","Countryside",5975,5975,6404,-0.0141891,"City",6061,2076,2.878,41.7742,-87.8752,303
"illinois/chillicothe","Chillicothe",5889,5889,6109,-0.00741615,"City",5933,1117,5.274,40.916,-89.5027,304
"illinois/coal-city","Coal City",5842,5842,5697,0.00498882,"Village",5813,1013,5.768,41.2789,-88.2801,305
"illinois/mount-zion","Mount Zion",5787,5787,6014,-0.00771605,"Village",5832,1356,4.267,39.784,-88.885,306
"illinois/carterville","Carterville",5778,5778,5852,-0.00258933,"City",5793,1090,5.299,37.7628,-89.0845,307
"illinois/pontoon-beach","Pontoon Beach",5768,5768,5858,-0.00311096,"Village",5786,579,9.967,38.7218,-90.0636,308
"illinois/hillsboro","Hillsboro",5715,5715,5860,-0.00504875,"City",5744,662,8.628,39.1762,-89.4729,309
"illinois/bartonville","Bartonville",5679,5679,5929,-0.00872753,"Village",5729,705,8.05,40.642,-89.6598,310
"illinois/metropolis","Metropolis",5668,5668,5953,-0.00995633,"City",5725,942,6.02,37.1496,-88.6874,311
"illinois/lake-holiday","Lake Holiday",5666,5666,5365,0.0107028,"CDP",5606,1617,3.505,41.6201,-88.6649,312
"illinois/peoria-heights","Peoria Heights",5649,5649,5893,-0.00859951,"Village",5698,2266,2.493,40.7467,-89.57,313
"illinois/beardstown","Beardstown",5629,5629,5928,-0.0105467,"City",5689,1555,3.619,40.0101,-90.4311,314
"illinois/du-quoin","Du Quoin",5610,5610,5819,-0.007431,"City",5652,804,6.979,38.0017,-89.2328,315
"illinois/willow-springs","Willow Springs",5587,5587,5839,-0.00886997,"Village",5637,1347,4.149,41.7341,-87.884,316
"illinois/east-alton","East Alton",5551,5551,5771,-0.00786416,"Village",5595,1044,5.318,38.8841,-90.1079,317
"illinois/spring-grove","Spring Grove",5533,5533,5480,0.00199203,"Village",5522,611,9.051,42.4507,-88.2402,318
"illinois/genoa","Genoa",5523,5523,5307,0.00784671,"City",5480,2128,2.596,42.091,-88.695,319
"illinois/wilmington","Wilmington",5514,5514,5648,-0.00487277,"City",5541,393,14.033,41.3194,-88.1602,320
"illinois/wonder-lake","Wonder Lake",5504,5504,3966,0.0592764,"Village",5196,1109,4.964,42.3834,-88.35,321
"illinois/lake-bluff","Lake Bluff",5483,5483,5610,-0.00453885,"Village",5508,1345,4.076,42.2827,-87.8523,322
"illinois/highwood","Highwood",5450,5450,5084,0.0135763,"City",5377,7569,0.72,42.206,-87.8129,323
"illinois/grandwood-park","Grandwood Park",5438,5438,5114,0.00295094,"CDP",5422,3763,1.445,42.3921,-87.9892,324
"illinois/carlinville","Carlinville",5427,5427,5686,-0.00949078,"City",5479,1611,3.369,39.2775,-89.8761,325
"illinois/northfield","Northfield",5407,5407,5746,-0.0124201,"Village",5475,1674,3.23,42.103,-87.7774,326
"illinois/spring-valley","Spring Valley",5362,5362,5562,-0.00740466,"City",5402,723,7.412,41.3229,-89.1833,327
"illinois/poplar-grove","Poplar Grove",5177,5177,5056,0.00465748,"Village",5153,657,7.877,42.3511,-88.8438,328
"illinois/posen","Posen",5176,5176,5570,-0.0150333,"Village",5255,4428,1.169,41.6291,-87.6858,329
"illinois/eureka","Eureka",5166,5166,5216,-0.00193199,"City",5176,1887,2.737,40.714,-89.277,330
"illinois/lake-barrington","Lake Barrington",5094,5094,5089,0.000196347,"Village",5093,888,5.736,42.2102,-88.1695,331
"illinois/monee","Monee",5085,5085,5115,-0.00117855,"Village",5091,1137,4.474,41.4181,-87.7501,332
"illinois/pana","Pana",4960,4960,5182,-0.00879296,"City",5004,1286,3.856,39.3946,-89.0908,333
"illinois/pinckneyville","Pinckneyville",4952,4952,5059,-0.0042228,"City",4973,1206,4.106,38.0861,-89.327,334
"illinois/colona","Colona",4937,4937,5036,-0.0040347,"City",4957,1293,3.819,41.4734,-90.3324,335
"illinois/berkeley","Berkeley",4935,4935,5319,-0.0153631,"Village",5012,3520,1.402,41.8891,-87.9115,336
"illinois/south-barrington","South Barrington",4913,4913,5065,-0.00606919,"Village",4943,659,7.458,42.089,-88.1572,337
"illinois/milan","Milan",4888,4888,5088,-0.00811688,"Village",4928,781,6.255,41.4355,-90.5627,338
"illinois/staunton","Staunton",4887,4887,5046,-0.00650539,"City",4919,1219,4.008,39.0117,-89.7907,339
"illinois/creve-coeur","Creve Coeur",4764,4764,4924,-0.00667223,"Village",4796,1126,4.231,40.6441,-89.5974,340
"illinois/marseilles","Marseilles",4741,4741,4820,-0.00336346,"City",4757,524,9.049,41.2822,-88.6814,341
"illinois/beecher","Beecher",4675,4675,4705,-0.00128178,"Village",4681,1707,2.738,41.35,-87.6173,342
"illinois/palos-park","Palos Park",4673,4673,4902,-0.00974783,"Village",4719,725,6.449,41.6662,-87.8296,343
"illinois/flora","Flora",4654,4654,4796,-0.00598035,"City",4682,992,4.69,38.6656,-88.4738,344
"illinois/fairfield","Fairfield",4652,4652,4866,-0.00915868,"City",4695,1135,4.097,38.3806,-88.3725,345
"illinois/hoopeston","Hoopeston",4618,4618,4900,-0.0119812,"City",4674,1253,3.686,40.4608,-87.6636,346
"illinois/tuscola","Tuscola",4592,4592,4646,-0.00238975,"City",4603,1557,2.949,39.7959,-88.2755,347
"illinois/carmi","Carmi",4587,4587,4839,-0.0107828,"City",4637,1772,2.589,38.0862,-88.1721,348
"illinois/kildeer","Kildeer",4575,4575,4079,0.022118,"Village",4476,1061,4.313,42.1814,-88.0489,349
"illinois/fox-river-grove","Fox River Grove",4574,4574,4686,-0.00478677,"Village",4596,2672,1.712,42.1955,-88.2148,350
"illinois/breese","Breese",4558,4558,4663,-0.00458615,"City",4579,1706,2.672,38.6138,-89.5237,351
"illinois/sherman","Sherman",4553,4553,4668,-0.00502622,"Village",4576,1449,3.142,39.8903,-89.6045,352
"illinois/cortland","Cortland",4548,4548,4397,0.00664011,"Town",4518,1266,3.593,41.9372,-88.6893,353
"illinois/lebanon","Lebanon",4499,4499,4679,-0.00793826,"City",4535,1669,2.695,38.6007,-89.8097,354
"illinois/shelbyville","Shelbyville",4498,4498,4653,-0.00684478,"City",4529,1101,4.085,39.4095,-88.8,355
"illinois/freeburg","Freeburg",4447,4447,4582,-0.00603487,"Village",4474,649,6.849,38.4391,-89.9162,356
"illinois/robbins","Robbins",4411,4411,4616,-0.00920934,"Village",4452,3044,1.449,41.6431,-87.7081,357
"illinois/olympia-fields","Olympia Fields",4410,4410,4709,-0.0134228,"Village",4470,1501,2.939,41.522,-87.6917,358
"illinois/watseka","Watseka",4403,4403,4670,-0.0118941,"City",4456,1496,2.944,40.7751,-87.7304,359
"illinois/auburn","Auburn",4376,4376,4545,-0.00770975,"City",4410,1061,4.124,39.5763,-89.744,360
"illinois/caseyville","Caseyville",4337,4337,4391,-0.0025299,"Village",4348,596,7.272,38.629,-90.0345,361
"illinois/stone-park","Stone Park",4294,4294,4564,-0.0124195,"Village",4348,12483,0.344,41.9032,-87.8807,362
"illinois/lawrenceville","Lawrenceville",4288,4288,4180,0.00515705,"City",4266,1982,2.164,38.7263,-87.6873,363
"illinois/paxton","Paxton",4281,4281,4448,-0.00764951,"City",4314,1410,3.036,40.4563,-88.1034,364
"illinois/lakewood","Lakewood",4267,4267,4267,0,"Village",4267,930,4.587,42.2245,-88.3867,365
"illinois/peotone","Peotone",4209,4209,4153,0.00262029,"Village",4198,2089,2.015,41.3307,-87.7963,366
"illinois/sullivan","Sullivan",4184,4184,4403,-0.0104068,"City",4228,1511,2.769,39.5952,-88.6089,367
"illinois/scott-afb","Scott AFB",4126,4126,3845,0.00830889,"CDP",4092,951,4.337,38.543,-89.8521,368
"illinois/west-peoria","West Peoria",4085,4085,4252,-0.0080136,"City",4118,1940,2.106,40.697,-89.6399,369
"illinois/ridgewood","Ridgewood",4052,4052,3089,0.0713908,"CDP",3782,9209,0.44,41.5341,-88.0434,370
"illinois/anna","Anna",4038,4038,4282,-0.0119892,"City",4087,1093,3.693,37.4611,-89.2375,371
"illinois/dwight","Dwight",4037,4037,4029,0.000495662,"Village",4035,1045,3.864,41.0987,-88.4221,372
"illinois/green-oaks","Green Oaks",4027,4027,4109,-0.00395746,"Village",4043,1009,3.991,42.3,-87.911,373
