stusps,state,hud_area_code,countyname,hud_area_name,fips,pop2023,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
KS,20,NCNTY20193N20193,Thomas County,"Thomas County, KS",2019399999,7907,643,688,877,1116,1276
KS,20,NCNTY20195N20195,Trego County,"Trego County, KS",2019599999,2798,643,782,877,1052,1276
KS,20,METRO45820M45820,Wabaunsee County,"Topeka, KS MSA",2019799999,6922,792,820,1057,1392,1411
KS,20,NCNTY20199N20199,Wallace County,"Wallace County, KS",2019999999,1489,643,758,877,1220,1276
KS,20,NCNTY20201N20201,Washington County,"Washington County, KS",2020199999,5529,696,701,877,1157,1161
KS,20,NCNTY20203N20203,Wichita County,"Wichita County, KS",2020399999,2131,643,800,877,1220,1276
KS,20,NCNTY20205N20205,Wilson County,"Wilson County, KS",2020599999,8667,643,668,877,1103,1419
KS,20,NCNTY20207N20207,Woodson County,"Woodson County, KS",2020799999,3134,643,777,877,1194,1276
KS,20,METRO28140M28140,Wyandotte County,"Kansas City, MO-KS HUD Metro FMR Area",2020999999,167989,1095,1197,1358,1769,2103
KY,21,NCNTY21001N21001,Adair County,"Adair County, KY",2100199999,18887,619,683,866,1204,1246
KY,21,METRO14540N21003,Allen County,"Allen County, KY HUD Metro FMR Area",2100399999,20773,759,759,996,1224,1520
KY,21,NCNTY21005N21005,Anderson County,"Anderson County, KY",2100599999,23839,745,951,1042,1323,1454
KY,21,METRO37140N21007,Ballard County,"Ballard County, KY HUD Metro FMR Area",2100799999,7742,800,817,1072,1285,1640
KY,21,NCNTY21009N21009,Barren County,"Barren County, KY",2100999999,44511,657,662,868,1102,1280
KY,21,NCNTY21011N21011,Bath County,"Bath County, KY",2101199999,12739,619,668,866,1124,1360
KY,21,NCNTY21013N21013,Bell County,"Bell County, KY",2101399999,24248,597,790,866,1133,1294
KY,21,METRO17140M17140,Boone County,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",2101599999,136150,958,1051,1353,1785,1976
KY,21,METRO30460M30460,Bourbon County,"Lexington-Fayette, KY MSA",2101799999,20228,883,1079,1272,1743,1940
KY,21,METRO26580M26580,Boyd County,"Huntington-Ashland, WV-KY-OH HUD Metro FMR Area",2101999999,48242,848,853,973,1249,1410
KY,21,NCNTY21021N21021,Boyle County,"Boyle County, KY",2102199999,30613,693,698,913,1200,1351
KY,21,METRO17140M17140,Bracken County,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",2102399999,8420,958,1051,1353,1785,1976
KY,21,NCNTY21025N21025,Breathitt County,"Breathitt County, KY",2102599999,13580,619,714,866,1204,1259
KY,21,NCNTY21027N21027,Breckinridge County,"Breckinridge County, KY",2102799999,20528,686,690,866,1204,1209
KY,21,METRO31140M31140,Bullitt County,"Louisville, KY-IN HUD Metro FMR Area",2102999999,82482,966,1047,1272,1625,1891
