ZCTA,land_sqmi,water_sqmi,lat,lon,population,density_sqmi
10591,9.406,0.221,41.082659,-73.848578,23663,2515.7346374654476
10594,2.579,0.0,41.115794,-73.770977,5512,2137.26250484684
10595,5.32,0.941,41.087378,-73.780369,7180,1349.624060150376
10596,0.596,0.109,41.255981,-73.959468,657,1102.3489932885907
10597,3.28,0.249,41.293021,-73.596568,652,198.78048780487805
10598,25.265,2.376,41.282372,-73.796206,28894,1143.637443103107
10601,0.646,0.0,41.03289,-73.764783,10860,16811.14551083591
10603,3.369,0.007,41.054219,-73.780227,19201,5699.3173048382305
10604,6.752,1.295,41.071512,-73.747093,12192,1805.6872037914693
10605,5.371,0.011,41.010566,-73.745129,19371,3606.590951405697
10606,1.484,0.0,41.020695,-73.775877,17556,11830.188679245282
10607,2.141,0.005,41.039089,-73.811368,6222,2906.118636151331
10701,4.379,0.0,40.946966,-73.88042,70054,15997.71637360128
10703,1.572,0.0,40.957649,-73.881135,22135,14080.788804071246
10704,2.669,0.137,40.919729,-73.862651,31844,11931.06032221806
10705,2.215,0.023,40.919339,-73.889335,40390,18234.762979683976
10706,2.663,0.0,40.990503,-73.869502,9119,3424.3334585054454
10707,1.27,0.0,40.959633,-73.82294,9755,7681.102362204724
10708,2.933,0.013,40.938267,-73.829922,21946,7482.441186498466
10709,1.555,0.104,40.954635,-73.808184,10274,6607.073954983923
10710,4.603,0.261,40.969635,-73.845691,25684,5579.839235281339
10801,3.425,0.042,40.91757,-73.784858,41984,12258.102189781022
10803,2.212,0.044,40.899532,-73.805883,13096,5920.433996383363
10804,4.278,0.101,40.946859,-73.788035,15228,3559.60729312763
10805,1.711,2.422,40.88637,-73.757674,21230,12407.948568088836
10901,23.545,0.101,41.155398,-74.129008,26224,1113.7821193459333
10913,4.156,0.109,41.068872,-73.956016,5333,1283.2050048123197
10914,2.477,0.017,41.417717,-74.200026,691,278.9664917238595
10916,23.485,0.175,41.449335,-74.244749,4531,192.931658505429
10917,4.817,0.283,41.321824,-74.108011,1575,326.96699190367445
10918,32.648,0.44,41.344192,-74.262177,11937,365.62729723107077
10919,3.77,0.016,41.525959,-74.387618,1383,366.84350132625997
10920,4.462,0.546,41.156495,-73.938239,8493,1903.4065441506052
10921,8.256,0.017,41.332065,-74.363422,4358,527.8585271317829
10922,2.076,0.056,41.336897,-73.987572,1072,516.3776493256262
10923,2.007,0.033,41.203116,-74.002718,9188,4577.977080219232
10924,40.081,0.23,41.381156,-74.352485,13612,339.61228512262664
10925,9.171,1.729,41.185855,-74.288878,4440,484.1347726529277
10926,17.23,0.766,41.255799,-74.127856,3741,217.1213000580383
10927,1.984,0.084,41.191052,-73.967562,12273,6185.987903225807
10928,8.361,0.196,41.34897,-73.998495,5273,630.6661882549934
10930,16.035,0.233,41.382395,-74.114404,10342,644.9641409416901
10931,2.476,0.029,41.127177,-74.170503,1170,472.5363489499192
10940,63.149,1.036,41.446544,-74.478741,53099,840.8525867392991
10941,32.042,0.2,41.490413,-74.345272,14761,460.6766119468198
10950,36.799,1.468,41.317346,-74.199881,65391,1776.9776352618278
10952,8.945,0.019,41.111118,-74.07854,47169,5273.225265511459
10954,6.89,0.005,41.099198,-74.013021,27474,3987.5181422351234
10956,15.422,0.79,41.154436,-73.994072,31420,2037.3492413435351
10958,21.241,0.124,41.379275,-74.423769,2717,127.91299844640083
10960,4.718,0.0,41.088841,-73.926471,15277,3238.024586689275
10962,5.209,0.281,41.049007,-73.962103,4921,944.7110769821463
10963,13.203,0.107,41.466587,-74.540707,3940,298.41702643338635
10964,2.435,0.0,41.016357,-73.914268,1395,572.8952772073922
10965,5.233,0.19,41.061561,-74.007832,15526,2966.940569463023
10968,0.621,0.005,41.037017,-73.921259,2406,3874.3961352657007
10969,10.947,0.007,41.294858,-74.488006,1333,121.76852105599708
10970,11.211,0.196,41.18436,-74.062727,11636,1037.9091963250378
10973,8.264,0.141,41.380516,-74.480462,2300,278.3155856727977
10974,7.48,0.341,41.159484,-74.189903,3324,444.3850267379679
10976,1.141,0.005,41.02296,-73.928488,2215,1941.2795793163891
10977,11.261,0.015,41.118914,-74.048154,71465,6346.2392327502
10980,27.581,1.21,41.239234,-74.056261,13793,500.09064210869803
10983,2.082,0.006,41.031088,-73.947703,5489,2636.4073006724307
10984,1.879,0.011,41.203123,-74.022156,2760,1468.8664183076105
10986,9.873,0.066,41.285209,-73.998672,1402,142.0034437354401
10987,33.278,1.619,41.199212,-74.224545,4041,121.43157641685198
10988,0.325,0.0,41.301494,-74.562447,684,2104.6153846153848
10989,4.836,0.65,41.122955,-73.938031,8410,1739.04052936311
10990,61.44,1.108,41.267448,-74.364011,20370,331.54296875
10992,11.304,0.036,41.426089,-74.164664,10412,921.0898796886058
10993,1.17,0.027,41.209904,-73.973872,4230,3615.3846153846157
10994,6.183,0.382,41.098072,-73.972649,5925,958.2726831635129
10998,21.607,0.167,41.324076,-74.541179,3676,170.13005044661452
11001,2.205,0.013,40.723317,-73.704949,25714,11661.678004535148
11003,4.128,0.042,40.699176,-73.706166,44716,10832.364341085271
11004,0.951,0.0,40.746191,-73.711507,14296,15032.597266035753
11010,2.405,0.0,40.700653,-73.675133,25618,10651.975051975052
11020,1.93,0.05,40.771442,-73.714819,5986,3101.554404145078
11021,2.379,0.036,40.784319,-73.731488,19474,8185.792349726776
11023,1.67,0.092,40.798909,-73.733653,9824,5882.634730538923
11024,3.501,0.353,40.816251,-73.742872,8821,2519.565838331905
11030,6.569,0.185,40.793409,-73.688549,17703,2694.930735271731
11040,4.809,0.025,40.745347,-73.680292,42344,8805.156997296735
11050,10.134,1.926,40.839895,-73.693123,32657,3222.5182553779355
11096,1.234,0.642,40.621346,-73.75699,9897,8020.259319286872
11101,2.587,0.098,40.747113,-73.939708,39007,15078.0827212988
11102,0.701,0.001,40.7716,-73.925603,28349,40440.79885877318
11103,0.692,0.0,40.762596,-73.913282,35357,51093.93063583815
11104,0.437,0.0,40.744845,-73.920468,26825,61384.43935926774
11105,1.634,0.0,40.779087,-73.906522,38507,23566.095471236233
11106,0.857,0.006,40.762211,-73.931528,40657,47441.07351225204
11201,1.354,0.015,40.6937,-73.989859,69251,51145.494830132935
11203,2.139,0.0,40.649569,-73.934327,76853,35929.406264609635
11204,1.595,0.0,40.618815,-73.984942,81368,51014.42006269593
11205,1.171,0.145,40.696891,-73.968074,50205,42873.61229718189
11206,1.401,0.0,40.70187,-73.942552,89231,63690.93504639543
11207,2.72,0.0,40.670157,-73.893835,93445,34354.779411764706
11208,2.676,0.0,40.674847,-73.87248,106901,39948.05680119581
11209,2.113,0.0,40.621803,-74.03015,70756,33486.038807382865
11210,1.649,0.0,40.62806,-73.946309,60398,36627.046694966644
11211,1.455,0.041,40.714084,-73.945168,65691,45148.45360824742
11212,1.545,0.0,40.662905,-73.913071,87946,56922.97734627832
